project_id,project_name,brand_family,official_project_url,inquiry_form_url,official_contact_page_url,region,city_area,micro_location,map_link,project_type,project_status,current_sales_status,developer_inventory_status,unit_types_offered_json,bedrooms_range_min,bedrooms_range_max,bua_range_min_sqm,bua_range_max_sqm,starting_price_value,starting_price_currency,price_range_min,price_range_max,price_status,pricing_date,pricing_disclaimer,payment_plan_headline,downpayment_percent_min,downpayment_percent_max,installment_years_min,installment_years_max,delivery_window,delivery_year_min,delivery_year_max,finishing_levels_offered_json,key_amenities_json,golf_flag,beach_access_flag,lagoons_flag,clubhouse_flag,pools_flag,gym_flag,brochure_urls_json,gallery_urls_json,source_links_json,screenshot_paths_json,last_verified_date,confidence_score,disclaimers_json,zones_json,unit_templates_json,listings_json,verified_on_wdd_site,verified_url,is_alias_of,drop_reason,cleanup_notes
murano,Murano,Second_Home,https://wadidegladevelopments.com/project-phases/murano/,https://wadidegladevelopments.com/contact-us/,https://wadidegladevelopments.com/contact-us/,Ain El Sokhna,Ain Sokhna Road,"750 meters of beach, 50 minutes from Cairo",,resort,unknown,selling,unknown,"[""villa"", ""chalet"", ""duplex"", ""loft"", ""penthouse""]",2,4,50,260,,,,,on_request,,Prices available upon request from Wadi Degla Developments.,,,,,,,,,[],"[""Swimming Pools"", ""Entertainment Area"", ""Supermarket"", ""Green Areas"", ""Restaurants"", ""750 metres of golden sandy beach"", ""Infinity Pool"", ""Pool Bars"", ""Beach Walk"", ""Outdoor Gym"", ""Beach Football"", ""Beach Volleyball"", ""Events Area"", ""Beach Clubhouse"", ""Wooden Deck"", ""Hot Springs"", ""Commercial Area"", ""Sitting Area""]",false,true,true,,true,,"[""https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf"", ""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]",[],"[""https://wadidegladevelopments.com/project-phases/murano/"", ""https://wadidegladevelopments.com/projects/""]","[""raw/screens/murano_top_1771723938584.png"", ""raw/screens/murano_middle_phases_1771723984094.png""]",2026-02-27,0.95,"[""Pricing not published on official site; on request only."", ""Brochures are image-based PDFs; specs not machine-readable."", ""Some project details are not publicly disclosed by WDD; Sales Team will assist you."", ""Delivery/Map details require sales confirmation.""]","[{""name"": ""Living Community"", ""url"": ""https://wadidegladevelopments.com/projects/murano/""}, {""name"": ""Waterside"", ""url"": ""https://wadidegladevelopments.com/projects/water-side/""}, {""name"": ""Floating Islands"", ""url"": ""https://wadidegladevelopments.com/projects/floating-islands/""}, {""name"": ""Ojo"", ""url"": ""https://wadidegladevelopments.com/projects/ojo-2/""}]",[],[],true,https://wadidegladevelopments.com/project-phases/murano/,,,Verified OK.
clubtown,ClubTown,Residential,https://wadidegladevelopments.com/project-phases/clubtown/,https://wadidegladevelopments.com/contact-us/,https://wadidegladevelopments.com/contact-us/,Cairo,Maadi,New Degla,,residential,under_construction,selling,unknown,"[""apartment"", ""duplex""]",,,,,,,,,on_request,,Prices available upon request from Wadi Degla Developments. Call 19917 or visit official project page.,,,,,,,2022,,[],"[""Retail"", ""Admin"", ""Sports Courts"", ""Outdoor Fitness Area"", ""Club House"", ""Mosque"", ""Food Court"", ""Banks"", ""Gym"", ""Padel Tennis"", ""Swimming Pools"", ""Nurseries & Kids Gardens""]",false,false,false,true,true,true,"[""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]","[""https://wadidegladevelopments.com/wp-content/uploads/2023/10/BreezeHorizon-M.-Plan-01-scaled.jpg"", ""https://wadidegladevelopments.com/wp-content/uploads/2023/10/CAM02-Frontyard-2-1-scaled-e1696240092640.jpg""]","[""https://wadidegladevelopments.com/project-phases/clubtown/"", ""https://wadidegladevelopments.com/projects/""]","[""raw/screens/clubtown_top.png"", ""raw/screens/clubtown_phases.png""]",2026-02-27,0.9,"[""Pricing not published; on request only."", ""Delivery year 2022 references earlier phases only; newer phases still under construction."", ""Some project details are not publicly disclosed by WDD; Sales Team will assist you."", ""Delivery/Map details require sales confirmation.""]","[{""name"": ""Breeze"", ""url"": ""https://wadidegladevelopments.com/projects/breeze/""}, {""name"": ""Horizon"", ""url"": ""https://wadidegladevelopments.com/projects/horizon/""}, {""name"": ""Edge"", ""url"": ""https://wadidegladevelopments.com/projects/edge/""}]",[],[],true,https://wadidegladevelopments.com/project-phases/clubtown/,,,Verified OK.
neo,Neo,Residential,https://wadidegladevelopments.com/project-phases/neo/,https://wadidegladevelopments.com/projects/neo-gardens/#wpcf7-f5124-o1,https://wadidegladevelopments.com/contact-us/,East Cairo,Mostakbal City,Heart of Mostakbal City,,residential,under_construction,selling,unknown,"[""apartment"", ""duplex""]",,,,,,,,,on_request,,Prices available upon request from Wadi Degla Developments.,,,,,,,,,[],"[""Green Areas"", ""Parking"", ""International School"", ""Nursery"", ""Clinics"", ""Mosque"", ""Medical Services"", ""Commercial & Entertainment Hub"", ""24/7 Security"", ""Green Area"", ""Medical"", ""Commercial Area""]",false,false,false,false,false,false,"[""https://wadidegladevelopments.com/wp-content/uploads/2023/09/Wadi-Degla-Development-Neopolis-Neo-Gardens.pdf""]","[""https://wadidegladevelopments.com/wp-content/uploads/2023/10/Untitled-2-01.jpg"", ""https://wadidegladevelopments.com/wp-content/uploads/2023/10/Untitled-2-02.jpg""]","[""https://wadidegladevelopments.com/project-phases/neo/"", ""https://wadidegladevelopments.com/projects/""]","[""raw/screens/neo_hero_section_1771725070544.png"", ""raw/screens/neo_phases_section_1771725087443.png""]",2026-02-27,0.85,"[""Pricing not published; on request only."", ""Brochure Neopolis-Neo-Gardens.pdf is image-based; specs not machine-readable."", ""Neopolis appears to be the master name for this Mostakbal City cluster."", ""Some project details are not publicly disclosed by WDD; Sales Team will assist you."", ""Delivery/Map details require sales confirmation.""]","[{""name"": ""Neo Lakes"", ""url"": ""https://wadidegladevelopments.com/projects/neo-lakes/""}, {""name"": ""Neo Gardens"", ""url"": ""https://wadidegladevelopments.com/projects/neo-gardens/""}]",[],[],true,https://wadidegladevelopments.com/project-phases/neo/,,,Verified OK.
vero,Vero,Second_Home,https://wadidegladevelopments.com/projects/vero/,https://wadidegladevelopments.com/contact-us/,https://wadidegladevelopments.com/contact-us/,North Coast,Sidi Abd El Rahman,"Sidi Abd El Rahman, elevated coastal retreat",,resort,unknown,selling,unknown,[],,,,,,,,,on_request,,Prices available upon request from Wadi Degla Developments. Call 19917 or visit official project page.,,,,,,,,,[],"[""Horizon Pool"", ""24/7 Lounge Reception & Concierge"", ""Housekeeping"", ""Fitness Center"", ""Pool Bar"", ""Swimming Pool"", ""Commercial Outlet"", ""Vero Beach Bar""]",,true,,,true,true,"[""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]","[""https://wadidegladevelopments.com/wp-content/uploads/2026/02/Cam02-Beach-Club-scaled.jpg"", ""https://wadidegladevelopments.com/wp-content/uploads/2026/02/Cam-01.terrace-vero-no-ppl--scaled.jpg"", ""https://wadidegladevelopments.com/wp-content/uploads/2026/02/cam04-pool-scaled.jpg""]","[""https://wadidegladevelopments.com/projects/vero/"", ""https://wadidegladevelopments.com/projects/""]","[""raw/screens/vero_top_1771726235415.png"", ""raw/screens/vero_mid_1771726253750.png"", ""raw/screens/vero_bottom_1771726273397.png""]",2026-02-27,0.85,"[""Pricing not published; on request only."", ""Project spans 34,000 sqm per page; individual unit BUA not published."", ""Some project details are not publicly disclosed by WDD; Sales Team will assist you."", ""Delivery/Map details require sales confirmation.""]",[],[],[],true,https://wadidegladevelopments.com/projects/vero/,,,Verified OK.
promenade_new_cairo,Promenade New Cairo,Residential,https://wadidegladevelopments.com/projects/promnade-new-cairo/,https://wadidegladevelopments.com/projects/promnade-new-cairo/,https://wadidegladevelopments.com/contact-us/,East Cairo,New Cairo,5 minutes from AUC and Road 90,,residential,unknown,selling,unknown,"[""apartment"", ""penthouse""]",,,,,,,,,on_request,,Prices available upon request from Wadi Degla Developments. Call 19917 or visit official project page.,,,,,,,,,[],"[""Walking Track"", ""Gym"", ""Swimming Pools"", ""Secured Parking"", ""The Hub Waterway"", ""Squash Court"", ""Spa"", ""360-degree view""]",,,,,true,true,"[""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]","[""https://wadidegladevelopments.com/wp-content/uploads/2023/09/WhatsApp-Image-2024-02-28-at-2.49.17-PM-2.jpeg"", ""https://wadidegladevelopments.com/wp-content/uploads/2023/09/WhatsApp-Image-2024-02-28-at-2.49.18-PM.jpeg""]","[""https://wadidegladevelopments.com/projects/promnade-new-cairo/"", ""https://wadidegladevelopments.com/projects/""]","[""raw/screens/promenade_top_1771726387275.png"", ""raw/screens/promenade_mid_1771726412577.png""]",2026-02-27,0.85,"[""Pricing not published; on request only."", ""Some project details are not publicly disclosed by WDD; Sales Team will assist you."", ""Delivery/Map details require sales confirmation.""]",[],[],[],true,https://wadidegladevelopments.com/projects/promnade-new-cairo/,,,Verified OK.
blumar_el_sokhna,Blumar El Sokhna,Second_Home,https://wadidegladevelopments.com/projects/blumarelsokhna/,https://wadidegladevelopments.com/contact-us/,https://wadidegladevelopments.com/contact-us/,Ain El Sokhna,Suez Road,Sales Team will assist you,,resort,delivered,not_selling,sold_out,[],,,,,,,,,on_request,,Prices available upon request from Wadi Degla Developments. Call 19917 or visit official project page.,,,,,,,,,[],"[""Swimming Pools"", ""Green Areas"", ""Restaurants"", ""Supermarket""]",false,true,,,true,false,"[""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]",[],"[""https://wadidegladevelopments.com/projects/blumarelsokhna/"", ""https://wadidegladevelopments.com/projects/""]","[""raw/screens/index/blumar_el_sokhna_card.png"", ""raw/screens/index/projects_index.png""]",2026-02-27,0.85,"[""Sold Out per official projects index."", ""Some project details are not publicly disclosed by WDD; Sales Team will assist you."", ""Delivery/Map details require sales confirmation.""]",[],[],[],true,https://wadidegladevelopments.com/projects/blumarelsokhna/,,,Verified OK.
blumar_hills,Blumar Hills,Second_Home,https://wadidegladevelopments.com/projects/blumar-hills/,https://wadidegladevelopments.com/contact-us/,https://wadidegladevelopments.com/contact-us/,Ain El Sokhna,Zaafarana Road,Sales Team will assist you,,resort,delivered,not_selling,sold_out,"[""chalet""]",,,,,,,,,on_request,,Prices available upon request from Wadi Degla Developments. Call 19917 or visit official project page.,,,,,,,,,[],"[""Swimming Pools""]",false,true,,,true,false,"[""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]",[],"[""https://wadidegladevelopments.com/projects/blumar-hills/"", ""https://wadidegladevelopments.com/projects/""]","[""raw/screens/index/blumar_hills_card.png"", ""raw/screens/index/projects_index.png""]",2026-02-27,0.85,"[""Sold Out per official projects index."", ""Some project details are not publicly disclosed by WDD; Sales Team will assist you."", ""Delivery/Map details require sales confirmation.""]",[],[],[],true,https://wadidegladevelopments.com/projects/blumar-hills/,,,Verified OK.
tijan_maadi,Tijan Maadi,Residential,https://wadidegladevelopments.com/projects/tijan-maadi/,https://wadidegladevelopments.com/contact-us/,https://wadidegladevelopments.com/contact-us/,Cairo,Maadi,New Degla,,residential,delivered,not_selling,sold_out,"[""apartment""]",,,,,,,,,on_request,,Prices available upon request from Wadi Degla Developments. Call 19917 or visit official project page.,,,,,,,,,[],"[""Green Areas"", ""Secured Parking"", ""Water Feature"", ""Walking Track"", ""Club House"", ""Swimming Pools""]",false,false,false,true,true,false,[],[],"[""https://wadidegladevelopments.com/projects/tijan-maadi/"", ""https://wadidegladevelopments.com/projects/""]","[""raw/screens/index/tijan_maadi_card.png"", ""raw/screens/index/projects_index.png""]",2026-02-27,0.85,"[""Sold Out per official projects index."", ""Some project details are not publicly disclosed by WDD; Sales Team will assist you."", ""Delivery/Map details require sales confirmation.""]",[],[],[],true,https://wadidegladevelopments.com/projects/tijan-maadi/,,,Verified OK.
blumar_el_dome,Blumar El Dome,Second_Home,https://wadidegladevelopments.com/projects/blumar-el-dome/,https://wadidegladevelopments.com/contact-us/,https://wadidegladevelopments.com/contact-us/,Ain El Sokhna,Zaafarana Road,Sales Team will assist you,,resort,delivered,not_selling,sold_out,"[""chalet""]",,,,,,,,,on_request,,Prices available upon request from Wadi Degla Developments. Call 19917 or visit official project page.,,,,,,,,,[],"[""Restaurants"", ""Hotel"", ""Swimming Pools""]",false,true,false,false,true,false,[],[],"[""https://wadidegladevelopments.com/projects/blumar-el-dome/"", ""https://wadidegladevelopments.com/projects/""]","[""raw/screens/index/blumar_el_dome_card.png"", ""raw/screens/index/projects_index.png""]",2026-02-27,0.85,"[""Sold Out per official projects index."", ""Some project details are not publicly disclosed by WDD; Sales Team will assist you."", ""Delivery/Map details require sales confirmation.""]",[],[],[],true,https://wadidegladevelopments.com/projects/blumar-el-dome/,,,Verified OK.
pyramids_walk,Pyramids Walk,Residential,https://wadidegladevelopments.com/projects/pyramids-walk/,https://wadidegladevelopments.com/contact-us/,https://wadidegladevelopments.com/contact-us/,West Cairo,6th of October,Sales Team will assist you,,residential,delivered,not_selling,sold_out,"[""twinhouse"", ""townhouse""]",,,,,,,,,on_request,,Prices available upon request from Wadi Degla Developments. Call 19917 or visit official project page.,,,,,,,,,[],"[""Swimming Pools"", ""Green Areas"", ""Secured Parking"", ""360-degree view"", ""Gym"", ""Spa""]",false,false,false,false,true,true,[],[],"[""https://wadidegladevelopments.com/projects/pyramids-walk/"", ""https://wadidegladevelopments.com/projects/""]","[""raw/screens/pyramids_walk_project_1771728438187.png"", ""raw/screens/index/projects_index.png""]",2026-02-27,0.85,"[""Sold Out per official projects index."", ""Delivered 2016; 140,000 sqm in 6th of October."", ""Some project details are not publicly disclosed by WDD; Sales Team will assist you."", ""Delivery/Map details require sales confirmation.""]",[],[],[],true,https://wadidegladevelopments.com/projects/pyramids-walk/,,,Verified OK.
